var,importance,random_perm_importance,lasso_coefficient
2029,2.8773262278685195e-06,5.936179015009202e-09,-0.0
1622,3.6680975222093385e-10,5.2809021600097594e-09,-0.0
White Scars,7.829392535313561e-07,2.9357365427529203e-09,-0.0
1091,6.959620380262986e-09,2.431440249139882e-09,0.0
Astra Telepathica,1.88773101638444e-08,1.930567661290184e-09,0.0
Vespid,7.990173442189248e-09,1.7309718547409146e-09,0.0
1960,2.6308758920741264e-08,1.3745751203941834e-09,0.0
4885,2.563060569540071e-07,1.3488981043252581e-09,-0.0
1246,4.93461602492184e-10,6.145360220699559e-10,0.0
1201,1.671897250121172e-07,1.1126688459484058e-10,3.083423844672672
Maynarkh,7.205980084216872e-07,0.0,-0.0
Marines Errant,1.471690671134653e-07,0.0,0.0
Sons of Medusa,0.0,0.0,0.0
Howling Griffons,5.38232008978045e-06,0.0,-0.0
Star Phantoms,7.663208970590517e-07,0.0,-0.0
Vior’La Sept,1.280688958075877e-07,0.0,-0.0
Servants of the Abyss,8.604637033310499e-08,0.0,-0.0
Harlequins,8.780611956783941e-07,0.0,-0.0
Iron Hands,8.621533029581173e-07,0.0,0.0
1165,1.5711569566536154e-08,0.0,0.0
757,1.829356415775608e-06,0.0,-0.0
<Haemonculus Coven> or <Kabal> or <Wych Cult>,2.4161051647240057e-08,0.0,0.0
Chaos Reaver Titan,0.0,0.0,0.0
Lamenters,3.6430805546356943e-06,0.0,0.0
743,2.562805848329929e-07,0.0,-0.0
Red Scorpions,1.9352505115416613e-05,0.0,0.0
1173,1.1101054534606013e-08,0.0,0.0
Elucidian Starstriders,3.347158507288735e-07,0.0,0.0
Szarekhan,0.0,0.0,0.0
Exorcists,1.83711717541361e-07,0.0,0.0
811,1.5352799331978775e-05,0.0,0.0
Gellerpox Infected,3.3830095780304217e-07,0.0,0.0
Fire Angels,2.43063552708646e-07,0.0,0.0
Mars,2.4544244986104896e-06,0.0,0.0
Alaitoc,0.0,0.0,0.0
Ordo Hereticus,1.0726582892254032e-06,0.0,-0.0
Questor Imperialis,1.0089126958467051e-06,0.0,-0.0
Jokaero,2.3543124983504084e-08,0.0,-0.0
Cult of Strife,0.0,0.0,0.0
1034,1.17594776148038e-06,0.0,0.0
Fallen,1.6485831976989234e-08,0.0,0.0
1050,3.1395947832171574e-08,0.0,-0.0
Deathskulls,2.1047146700632763e-06,0.0,0.0
Goff,4.5471578914251547e-07,0.0,-0.0
World Eaters,0.0,0.0,0.0
1272,0.0,0.0,0.0
Creations of Bile,3.84217013639441e-07,0.0,0.0
842,4.879983659740655e-09,0.0,0.0
1158,3.0155221331024244e-06,0.0,-0.0
<Ordo>,3.3856342125246863e-06,0.0,0.0
<Masque>,3.799682701906323e-06,0.0,-0.0
806,2.990439550379193e-05,0.0,-12.715043777059527
Ulthwé,0.0,0.0,0.0
Catachan,2.4483465908980342e-06,0.0,0.0
1266,0.0,0.0,0.0
Crimson Fists,8.658861573105871e-07,0.0,0.0
Carcharodons,1.996820149201139e-06,0.0,0.0
Canoptek,0.0,0.0,0.0
Imperial Fists,5.096720703978964e-06,0.0,-0.0
Elysian,7.861244998268124e-06,0.0,-0.0
Blood Ravens,4.41121027319349e-07,0.0,-0.0
620,7.453374441615946e-09,0.0,11.481568444592776
Incubi,7.762132226774373e-07,0.0,0.0
Emperor’s Children,1.2827504304980292e-08,0.0,-0.0
Alpha Legion,1.0376666082374572e-06,0.0,0.0
Robotica Imperialis,3.3584676321251395e-08,0.0,0.0
Freeblade,2.66318152880208e-07,0.0,-0.0
Officio Assassinorum,3.822930473273738e-07,0.0,-0.0
633,2.817632503847736e-06,0.0,-18.99017422418591
Astral Claws,1.3082610097431263e-06,0.0,-0.0
636,4.913390961275888e-07,0.0,-0.0
number_in_transport,0.0,0.0,0.0
617,1.35568839203969e-09,0.0,57.45210691222625
613,4.733757438275885e-09,0.0,0.0
591,9.948409819868674e-07,0.0,-0.0
faction_id_HAR,2.7823914970114284e-06,0.0,-11.631683313316518
589,0.0,0.0,0.0
588,0.0,0.0,0.0
faction_id_OA,6.768200144437837e-07,0.0,-0.0
587,4.118108562719606e-09,0.0,0.0
553,1.7107019212292525e-07,0.0,-0.0
389,0.0,0.0,0.0
263,3.721041250071653e-09,0.0,0.0
191,0.0,0.0,-0.0
140,0.0,0.0,0.0
55,7.059469056966716e-05,0.0,-108.74068365556204
virtual,0.0,0.0,0.0
open_play_only,0.0,0.0,0.0
640,3.546029795622544e-09,0.0,-0.0
Harbingers,0.0,0.0,0.0
<Kabal> or <Wych Cult>,1.4003315061005137e-06,0.0,0.0
Freebooterz,1.357527651703314e-06,0.0,0.0
Cult Mechanicus,1.1252180994627446e-06,0.0,-0.0
734,2.618209283305288e-08,0.0,0.0
Evil Sunz,0.0,0.0,0.0
Raptors,7.90307798446016e-06,0.0,0.0
Prophets of Flesh,0.0,0.0,0.0
Order of Our Martyred Lady,3.838063144880208e-07,0.0,-0.0
Mantis Warriors,5.845834911574683e-06,0.0,0.0
Flesh Tearers,9.64283655022868e-06,0.0,0.0
Zoat,1.5507466562466349e-07,0.0,-0.0
<Allegiance>,6.986567020842566e-07,0.0,0.0
Black Legion,9.439168086258936e-08,0.0,0.0
Blood Axe,3.98739101670676e-07,0.0,-0.0
Navis Nobilite,0.0,0.0,0.0
Sanctic Astartes,8.610131522121582e-06,0.0,1.6607104183087094
Farsight Enclaves,0.0,0.0,0.0
646,7.676679282536567e-06,0.0,0.0
705,1.966343199622515e-07,0.0,0.0
694,0.0,0.0,0.0
Biel-Tan,6.964621066056777e-07,0.0,0.0
Cadian,5.398349845888201e-07,0.0,-0.0
Novamarines,1.4090869837860772e-06,0.0,-0.0
Dreaded Ambull,2.641976558890409e-08,0.0,0.0
The Faithless,1.2466868976878054e-06,0.0,0.0
Scholastica Psykana,3.272921148632834e-09,0.0,0.0
Ke’lshan,0.0,0.0,0.0
680,2.482676716331802e-07,0.0,-0.0
Executioners,2.026353281325477e-05,0.0,0.0
Fire Hawks,3.9233559604819246e-07,0.0,-0.0
675,8.136943012105131e-05,0.0,148.6147214323279
Red Corsairs,1.3751174077215996e-06,0.0,0.0
Iyanden,1.2916731281631474e-06,0.0,-0.0
<Brotherhood>,1.0793308779757905e-06,0.0,0.0
1198,1.6377428108951397e-07,0.0,0.0
1227,3.26484810110724e-08,0.0,-0.0
2824,8.573744460283762e-07,0.0,-0.0
1238,1.830527213642764e-06,0.0,0.0
2798,4.237312842460725e-07,0.0,-0.0
2795,2.209089287598989e-06,0.0,0.0
2793,8.471883105357932e-08,0.0,0.0
2669,1.1368833857886815e-06,0.0,-0.0
2647,0.0,0.0,0.0
2619,0.0,0.0,0.0
2590,2.7283066515878884e-07,0.0,0.0
2571,0.0,0.0,0.0
2506,3.7383628365745737e-07,0.0,-0.0
2398,0.0,0.0,0.0
2395,0.0,0.0,0.0
2393,9.271157225368406e-08,0.0,-0.0
2389,1.4013088104362388e-07,0.0,0.0
2830,0.0,0.0,0.0
2933,4.290596299077975e-06,0.0,-0.0
1216,3.310174640494624e-06,0.0,-62.66517144910125
3014,0.0,0.0,0.0
3460,1.981041632253013e-06,0.0,0.0
3421,0.0,0.0,0.0
3402,2.468368342076337e-08,0.0,0.0
3373,0.0,0.0,0.0
3367,2.4757229115988584e-08,0.0,-0.0
3352,0.0,0.0,0.0
3351,3.146090963292042e-07,0.0,0.0
3349,1.556126639971296e-07,0.0,-0.0
3346,4.355256488491216e-08,0.0,-0.0
3344,0.0,0.0,0.0
3251,0.0,0.0,0.0
3245,0.0,0.0,0.0
3155,0.0,0.0,0.0
3104,1.49420432554729e-05,0.0,0.0
3095,1.3837062150526412e-06,0.0,-8.134530445758932
2386,2.3629462582458255e-07,0.0,-0.0
2385,0.0,0.0,0.0
2376,2.4500131637768582e-06,0.0,-0.0
2259,0.0,0.0,0.0
1542,0.0,0.0,0.0
1535,0.0,0.0,0.0
1255,1.680122496528401e-07,0.0,-0.0
1505,0.0,0.0,0.0
1504,4.8885847690028326e-09,0.0,0.0
1503,0.0,0.0,0.0
1501,0.0,0.0,0.0
1497,0.0,0.0,0.0
1485,1.1483299887637437e-07,0.0,-0.0
1470,9.267010879918188e-07,0.0,0.0
1258,1.5557991144589258e-07,0.0,0.0
1264,1.3654933416213245e-06,0.0,0.0
1387,3.67024765192236e-06,0.0,-0.0
1275,0.0,0.0,0.0
1274,1.4329961180253522e-07,0.0,-0.0
1549,0.0,0.0,-26.463359935166437
1556,0.0,0.0,0.0
1572,0.0,0.0,0.0
1957,3.4219075581797144e-08,0.0,0.0
2215,4.8901860679767086e-08,0.0,-0.0
2053,0.0,0.0,22.316102201974875
2041,1.641718193810489e-05,0.0,-0.0
1973,0.0,0.0,0.0
1968,4.2535046470123785e-08,0.0,0.0
1959,0.0,0.0,0.0
1649,5.9208037600390875e-09,0.0,0.0
1574,1.8858409712478323e-08,0.0,0.0
1249,0.0,0.0,0.0
1630,3.461854846170093e-06,0.0,0.0
1250,0.0,0.0,0.0
1624,0.0,0.0,0.0
1615,2.201045714460791e-07,0.0,0.0
1252,3.6983342276261335e-08,0.0,0.0
1219,4.158280045091385e-06,0.0,-67.78713310324157
2855,8.433802514425109e-07,0.0,14.049282701349618
5022,1.3559636225320078e-05,0.0,19.17436475108088
4796,0.0,0.0,0.0
1211,0.0,0.0,0.0
4892,0.0,0.0,0.0
4893,0.0,0.0,0.0
4901,1.82052147650702e-07,0.0,-0.0
5050,4.612262021454872e-06,0.0,-0.0
4918,0.0005827222079064,0.0,249.81269339082652
4922,3.545226645502703e-07,0.0,-0.0
4923,3.730217693962422e-07,0.0,0.0
4926,2.1360617779062947e-07,0.0,0.0
5126,4.944662903959612e-07,0.0,-0.0
4935,1.945844030232085e-06,0.0,0.0
5085,1.2976994599909017e-07,0.0,0.0
1206,2.2997448494260408e-06,0.0,0.0
4939,1.1393789849526311e-06,0.0,0.0
4940,0.0,0.0,0.0
4960,1.4151315642511212e-08,0.0,0.0
5054,1.6916476842540298e-06,0.0,-0.0
1204,8.366363237652644e-06,0.0,-0.0
Blackstone Construct,0.0,0.0,0.0
4991,3.7432392760891833e-05,0.0,32.96921689561246
3620,8.033591584769122e-07,0.0,0.0
Skulltakers,0.0,0.0,0.0
5030,1.2908864244678417e-07,0.0,0.0
5052,9.759174878619331e-09,0.0,0.0
5046,8.693084181501217e-08,0.0,-0.0
4816,0.0,0.0,0.0
5047,1.3063233173302833e-07,0.0,-0.0
4697,0.0,0.0,0.0
4275,4.086656741426272e-07,0.0,0.0
5606,3.0349332495973625e-06,0.0,35.28945717391951
3626,3.752466567585432e-09,0.0,-0.0
3629,0.0,0.0,0.0
3633,4.7262260250669164e-08,0.0,-0.0
3635,1.1048200859698776e-08,0.0,-0.0
3642,0.0,0.0,-0.0
1199,0.0,0.0,0.0
3643,0.0,0.0,0.0
4117,9.128716834792507e-08,0.0,0.0
4251,0.0,0.0,0.0
4274,3.884294087752294e-07,0.0,-0.0
3644,2.184381162786775e-07,0.0,0.0
1202,6.294213238506582e-08,0.0,0.0
4324,2.5194610538212182e-08,0.0,-0.0
2194,3.7448361516660447e-10,-2.6532898100839475e-10,0.0
<Titan Legion>,2.9602715740067435e-08,-8.490527170224026e-10,21.795697242089638
622,2.1748311443163795e-09,-2.525247011497811e-09,0.0
1655,6.30687869787137e-07,-2.8758235792736286e-09,-0.0
Astra Cartographica,2.9790438810079846e-08,-3.979934493081316e-09,-0.0
Black Templars,1.369079712565319e-06,-1.3512262486692351e-08,-0.0
1104,1.450730951901244e-06,-1.488444116848342e-08,0.0
1509,1.1525969856213566e-06,-2.9607973051071214e-08,-3.01691297729074
faction_id_GC,2.1133787661761475e-06,-4.047002712948e-08,-0.0
5387,9.555369988421468e-10,-4.4164433332660735e-08,0.0
Ynnari,1.6877017292291393e-05,-7.592174211534798e-08,0.0
T’au Sept,7.812962986096647e-06,-8.070279877703258e-08,0.0
Tome Keepers,8.823899665130758e-07,-8.302228737822048e-08,-0.0
3340,8.005916545108572e-07,-8.546947625198698e-08,0.0
<Kabal>,3.170135959342937e-06,-9.217904659575283e-08,-0.0
Destroyer Cult,3.35134664794096e-07,-1.1456219761729615e-07,0.0
1179,2.1726975984259128e-05,-1.528294807373598e-07,0.0030620648020229
faction_id_YNN,1.099074202109633e-05,-1.728917736754099e-07,6.640403627435861
1561,6.702803254538423e-06,-1.8426394405857137e-07,11.272147599623022
Skitarii,4.518564796320974e-06,-2.3894944087832217e-07,0.0
5133,2.8197807477313085e-07,-2.684101990668708e-07,-0.0
Militarum Auxilla,3.145847323595229e-07,-3.196768895152857e-07,0.0
<Heretic Titan Legion>,0.0005379660691533,-4.823851664337298e-07,3.853531647980956
Daemon,3.2986740776374994e-05,-5.039131023121258e-07,-4.771458076239621
faction_id_AdM,5.152610519596439e-06,-6.582499938678765e-07,0.0
5485,7.011611954513967e-06,-6.993222320561542e-07,0.0
5360,1.1394939113504875e-06,-7.059403922315966e-07,-0.0
<Cult>,5.694294351035023e-06,-9.309776942023616e-07,0.0
Krieg,2.1174342456539512e-06,-9.733426835856208e-07,0.0356467684480963
line,1.7152065759866785e-05,-1.0029119698939936e-06,14.839568233530208
<Legion>,9.166587104616473e-06,-1.0377238141234811e-06,-0.7766848752742928
196,1.8080457527697572e-05,-1.06604930674159e-06,-17.286565329635504
2276,3.730309490240299e-06,-1.072237120447461e-06,0.0
1046,4.732539569900778e-06,-1.258814733007263e-06,-41.37358703345235
707,1.8501413626137123e-05,-1.3056581328552142e-06,2.7083945826489475
706,9.792254822575562e-06,-1.3113077566906385e-06,-5.942962592022553
Khorne,1.6686501419172583e-05,-1.5391979441004011e-06,-2.9704567239368456
faction_id_TYR,2.1607352981801952e-05,-1.5821237190571936e-06,-0.0171243377543835
1708,3.753964777231107e-06,-1.6930589553432184e-06,-15.348579575621294
faction_id_DRU,7.677227568766423e-06,-1.8070589977936536e-06,0.0
Sautekh,5.078765656141651e-07,-1.9600261071728297e-06,-0.0
Salamanders,1.890824476826364e-05,-2.3091825845922287e-06,11.646026257890709
Blood Angels,2.0866695772777547e-05,-2.341015897266985e-06,0.0
Heretic Astartes,9.317395255404816e-05,-2.356867847552735e-06,13.115612876863867
1489,6.134796781307239e-06,-2.4094122252904526e-06,12.58178106496541
faction_id_AC,2.9242617809183063e-05,-2.4330610810086027e-06,0.0
1493,6.232412542312533e-06,-2.454720825495471e-06,0.0
4897,2.0706616246201777e-06,-2.934880652172289e-06,0.0
1036,2.9180474648855285e-06,-2.982879516921777e-06,0.0
faction_id_SM,0.0001199308227511,-3.1518892710691306e-06,11.06706563073873
faction_id_DG,1.1309586391554743e-05,-3.168245175211304e-06,8.257822725195199
1703,3.774907552844914e-05,-3.557166760570496e-06,-0.0
faction_id_CSM,1.0233005873395844e-05,-3.561162785903349e-06,-0.0
Adeptus Custodes,2.5072240832247123e-05,-3.679895612274109e-06,0.0
1210,3.587011619196982e-06,-4.332556579877967e-06,-0.0
Nurgle,2.4522541747939847e-05,-5.102004400048266e-06,-0.0
Renegades and Heretics,8.807003098939923e-06,-6.336070617019018e-06,-6.345044128206921
2,1.1072052347441742e-05,-6.686646518794248e-06,0.4730627760726488
Dark Angels,1.611659088622187e-05,-6.839487639731523e-06,-9.25500087631872
faction_id_RaH,7.4035391520468274e-06,-7.600856792144839e-06,-1.4901008819715742e-05
<Regiment>,1.987268046305732e-05,-1.0263994713510804e-05,-1.025251131397803
<Questor Traitoris>,5.572589076017434e-06,-1.1176408966551145e-05,-61.92523370317936
1220,3.13648205866798e-06,-1.294942266398813e-05,-89.92015330731398
faction_id_AM,2.7421158859270228e-05,-1.618901394042638e-05,-0.0
1678,0.0001186756583489,-2.008369899433316e-05,-61.73780691976384
Astra Militarum,2.9146060057650312e-05,-2.076509423236672e-05,-11.587710587280403
datasheet_id,0.0029011560847949,-2.1260955028679084e-05,-0.0025628097293642
3528,0.0001052701814738,-2.186631725771271e-05,0.0
Chaos Knights,3.020104636822597e-05,-2.1982076345605785e-05,-4.344298416172074
faction_id_QT,3.3694620165103265e-05,-3.476125196653079e-05,-0.0206712021084944
role_Flyers,0.000265789029657,-3.650692924919152e-05,-0.0
Spirit Host,0.0015875535746061,-4.117479727021589e-05,288.82573426851474
Asuryani,0.0003333511306139,-6.324542501627839e-05,-25.45528738194089
faction_id_CW,0.0002772811283912,-6.51623449247074e-05,-0.0
<Craftworld>,0.0001976340435209,-6.964812332972414e-05,-0.0
Adeptus Titanicus,0.012832459735414,-0.0001052221456864,246.69246033003472
Aeldari,0.0005149304176062,-0.0001164843853189,0.0
Imperium,0.0007245870908394,-0.0001995048341769,9.30427548376183
Chaos,0.0006915292812891,-0.0007183238130274,-0.0
WS,0.0037226160943335,-0.0011535924951247,-1.98281884905978
faction_id_HTL,0.00078112582727,-0.0016023472634831,0.6645756988295971
